Date,App_Name,Category,Minutes_Used
2026-07-18,Instagram,Social Media,120
2026-07-18,YouTube,Entertainment,90
2026-07-18,VS Code,Coding,180
2026-07-18,Chrome,Education,60
2026-07-18,WhatsApp,Communication,45
2026-07-19,Instagram,Social Media,110
2026-07-19,YouTube,Entertainment,80
2026-07-19,VS Code,Coding,200
2026-07-19,Chrome,Education,70
2026-07-19,Spotify,Entertainment,40
2026-07-20,Instagram,Social Media,150
2026-07-20,Netflix,Entertainment,100
2026-07-20,VS Code,Coding,160
2026-07-20,Chrome,Education,50
2026-07-20,WhatsApp,Communication,60
2026-07-21,Instagram,Social Media,100
2026-07-21,YouTube,Entertainment,120
2026-07-21,VS Code,Coding,220
2026-07-21,Chrome,Education,80
2026-07-21,Gmail,Productivity,30
2026-07-22,Instagram,Social Media,180
2026-07-22,YouTube,Entertainment,140
2026-07-22,VS Code,Coding,150
2026-07-22,Chrome,Education,60
2026-07-22,WhatsApp,Communication,50
2026-07-23,Instagram,Social Media,130
2026-07-23,Netflix,Entertainment,90
2026-07-23,VS Code,Coding,210
2026-07-23,Chrome,Education,70
2026-07-23,Gmail,Productivity,40
2026-07-24,Instagram,Social Media,90
2026-07-24,YouTube,Entertainment,60
2026-07-24,VS Code,Coding,240
2026-07-24,Chrome,Education,90
2026-07-24,Spotify,Entertainment,35
2026-07-25,Instagram,Social Media,170
2026-07-25,Netflix,Entertainment,100
2026-07-25,VS Code,Coding,180
2026-07-25,Chrome,Education,75
2026-07-25,WhatsApp,Communication,55
2026-07-26,Instagram,Social Media,140
2026-07-26,YouTube,Entertainment,85
2026-07-26,VS Code,Coding,200
2026-07-26,Chrome,Education,65
2026-07-26,Gmail,Productivity,35
2026-07-27,Instagram,Social Media,160
2026-07-27,Netflix,Entertainment,120
2026-07-27,VS Code,Coding,190
2026-07-27,Chrome,Education,80
2026-07-27,WhatsApp,Communication,45
2026-07-28,Instagram,Social Media,100
2026-07-28,YouTube,Entertainment,70
2026-07-28,VS Code,Coding,230
2026-07-28,Chrome,Education,90
2026-07-28,Spotify,Entertainment,50
2026-07-29,Instagram,Social Media,180
2026-07-29,Netflix,Entertainment,110
2026-07-29,VS Code,Coding,170
2026-07-29,Chrome,Education,60
2026-07-29,Gmail,Productivity,30
2026-07-30,Instagram,Social Media,150
2026-07-30,YouTube,Entertainment,100
2026-07-30,VS Code,Coding,210
2026-07-30,Chrome,Education,70
2026-07-30,WhatsApp,Communication,55
2026-07-31,Instagram,Social Media,120
2026-07-31,Netflix,Entertainment,90
2026-07-31,VS Code,Coding,220
2026-07-31,Chrome,Education,80
2026-07-31,Gmail,Productivity,40
